"","vendors","id","price","size","cost_per_size"
"153","Metro",43294,46.56,364.27,0.13
"154","Walmart",84486,38.63,948.25,0.04
"155","Loblaws",83555,48.67,410.28,0.12
"156","Loblaws",59247,7.37,316.51,0.02
"157","Galleria",12071,23.02,341.52,0.07
"158","Metro",54232,6.24,334.5,0.02
"159","Galleria",74592,33.57,450.22,0.07
"160","Walmart",72059,36.89,282.27,0.13
"161","Galleria",80497,2.59,21.79,0.12
"162","Galleria",69272,31.02,445.9,0.07
"163","Save-On-Foods",28100,21.63,185.82,0.12
"164","T&T",20743,48.26,629.39,0.08
"165","Metro",11621,40.57,238.54,0.17
"166","Galleria",77494,13.01,944.9,0.01
"167","Galleria",75268,10.94,831.5,0.01
"168","Galleria",6312,32.11,807.86,0.04
"169","Loblaws",93254,17.98,999.74,0.02
"170","T&T",15510,26.79,913.51,0.03
"171","Walmart",17923,13.61,401.78,0.03
"172","Metro",83291,5.74,209.7,0.03
"173","Save-On-Foods",45219,21.95,927.09,0.02
"174","Metro",24087,0.47,437.85,0
"175","Galleria",64597,43.82,391.13,0.11
"176","Save-On-Foods",38052,30.95,704.6,0.04
"177","No Frills",1759,32.71,23.43,1.4
"178","Voila",49422,34.49,304.9,0.11
"179","Voila",38575,6.95,145.72,0.05
"180","Galleria",68436,36.02,620.8,0.06
"181","Save-On-Foods",15079,36.8,377.86,0.1
"182","T&T",26407,29.98,731.92,0.04
"183","Metro",20583,4.27,848.53,0.01
"184","T&T",56488,22.77,331.15,0.07
"185","Loblaws",15529,20.67,451.87,0.05
"186","No Frills",3320,37.27,564.77,0.07
"187","Walmart",36184,4.64,903.15,0.01
"188","Walmart",40046,18.35,544.83,0.03
"189","Save-On-Foods",36387,44.39,705.25,0.06
"190","Galleria",25896,2.32,715.98,0
"191","Metro",50584,48.92,183.44,0.27
"192","Metro",76168,8.47,337.33,0.03
"193","Loblaws",82705,18.68,959.76,0.02
"194","Galleria",56442,12.99,331.94,0.04
"195","Galleria",34096,49.75,185.85,0.27
"196","Loblaws",87969,1.19,491.56,0
"197","Loblaws",96228,3.47,691.81,0.01
"198","Metro",87225,47.78,56.85,0.84
"199","Loblaws",51149,2.18,779.48,0
"200","Metro",70323,3.41,494.91,0.01
"201","T&T",24661,33.66,502.65,0.07
"202","Galleria",92082,37.03,427.55,0.09
"203","T&T",78550,47.98,625.61,0.08
"204","Save-On-Foods",59993,45.41,732.83,0.06
"205","T&T",2862,7.52,809.83,0.01
"206","Walmart",56908,30.69,421.54,0.07
"207","Walmart",503,37.99,170.89,0.22
"208","Walmart",34755,15.18,580.95,0.03
"209","No Frills",55092,8.42,507.71,0.02
"210","Walmart",10261,25.79,358.64,0.07
"211","Save-On-Foods",29345,25.2,259.32,0.1
"212","No Frills",62226,34.04,601.33,0.06
"213","Loblaws",17938,40.01,845.9,0.05
"214","Save-On-Foods",12744,46.15,53.92,0.86
"215","Voila",14036,48,434.43,0.11
"216","T&T",99545,48.22,840.9,0.06
"217","T&T",40916,2.12,478.8,0
"218","Galleria",91448,39.68,983.67,0.04
"219","Walmart",7621,17.49,459.18,0.04
"220","Metro",2198,12.83,9.83,1.31
"221","Voila",49349,2.61,178.25,0.01
"222","Loblaws",44091,19.84,283.98,0.07
"223","T&T",76417,32.09,758.03,0.04
"224","Loblaws",25365,16.35,934.3,0.02
"225","Voila",38546,31.95,837.27,0.04
"226","No Frills",86438,19.05,927.35,0.02
"227","Save-On-Foods",22502,47.18,588.77,0.08
"228","Voila",14138,33.26,626.11,0.05
"229","T&T",72392,33.27,46.48,0.72
"230","T&T",80915,14.66,851.15,0.02
"231","Loblaws",20376,43.54,345.05,0.13
"232","Save-On-Foods",25023,26.74,339.49,0.08
"233","Loblaws",13086,25.78,473.23,0.05
"234","Galleria",98045,18.12,17.94,1.01
"235","Walmart",64495,36.34,515.82,0.07
"236","Loblaws",54266,42.76,27.04,1.58
"237","Walmart",43970,19.59,842.66,0.02
"238","Loblaws",20611,29.7,926.69,0.03
"239","Galleria",71432,38.83,62.99,0.62
"240","Metro",13682,39.91,840.64,0.05
"241","Metro",14408,23.52,458.64,0.05
"242","Loblaws",81397,13.95,646.62,0.02
"243","Loblaws",72459,6.28,108.31,0.06
"244","Loblaws",67976,4.28,131.17,0.03
"245","Loblaws",25632,21.14,497.67,0.04
"246","Galleria",11456,13.93,740.36,0.02
"247","Loblaws",82261,17.5,231.73,0.08
"248","Loblaws",33441,1.72,890.65,0
"249","Loblaws",72313,46.12,216.96,0.21
"250","T&T",546,47.36,528.36,0.09
"251","Walmart",34362,3.92,393.69,0.01
"252","Galleria",57227,42.88,633.86,0.07
"253","Walmart",80186,8.78,831.61,0.01
"254","Galleria",70512,9.57,259.75,0.04
"255","Save-On-Foods",88667,22.16,513.67,0.04
"256","Galleria",27634,40.56,345.18,0.12
"257","No Frills",11772,40.07,159.34,0.25
"258","No Frills",92755,31.85,542.68,0.06
"259","No Frills",29967,35.57,160.07,0.22
"260","Galleria",38661,32.39,21.47,1.51
"261","Loblaws",86583,14.42,174.1,0.08
"262","Galleria",3890,13.77,311.15,0.04
"263","Loblaws",27922,28.53,465.56,0.06
"264","Walmart",19647,38.4,518.35,0.07
"265","Loblaws",22496,32.98,568.93,0.06
"266","Loblaws",65947,33.1,213.18,0.16
"267","Metro",93898,13.82,569.85,0.02
"268","Voila",21264,12.18,13.39,0.91
"269","Loblaws",82257,29.5,539.93,0.05
"270","Loblaws",46892,22.31,4.58,4.87
"271","Loblaws",86559,2.42,446.91,0.01
"272","Galleria",5329,43.78,16.17,2.71
"273","Save-On-Foods",98754,25.51,759.92,0.03
"274","No Frills",51053,39.29,605.53,0.06
"275","Walmart",98656,16.47,163.38,0.1
"276","Walmart",10028,1.37,227.7,0.01
"277","Loblaws",62475,16.63,658.28,0.03
"278","Galleria",66845,31.41,142.93,0.22
"279","Walmart",63643,33.1,488.08,0.07
"280","T&T",53834,12.39,920.09,0.01
"281","T&T",14297,2.55,623,0
"282","Loblaws",17147,32.78,264.72,0.12
"283","T&T",11229,21.93,490.54,0.04
"284","Metro",79155,30.96,994.66,0.03
"285","Save-On-Foods",32094,3.98,403.19,0.01
"286","No Frills",19407,16.38,299.48,0.05
"287","Voila",31745,34.67,819.57,0.04
"288","Loblaws",27030,28.9,114.63,0.25
"289","Galleria",98813,28.72,958.03,0.03
"290","Save-On-Foods",64289,42.06,146.7,0.29
"291","T&T",68201,45.5,141.01,0.32
"292","Save-On-Foods",53372,37.2,200.5,0.19
"293","Save-On-Foods",64047,42.14,148.5,0.28
"294","Save-On-Foods",77364,19.37,634.18,0.03
"295","T&T",12232,22.28,586.14,0.04
"296","Loblaws",53645,29.93,320.39,0.09
"297","Walmart",89845,29.4,676.3,0.04
"298","T&T",45220,17.29,674.87,0.03
"299","Galleria",62795,8.75,8.94,0.98
"300","Galleria",68400,40.58,728.31,0.06
"301","Metro",38297,3.29,272.38,0.01
"302","Galleria",5935,38.33,302.67,0.13
"303","Galleria",87677,36.84,633.35,0.06
"304","Walmart",54686,47.3,747.93,0.06
"305","T&T",68744,24.98,603.41,0.04
"306","Save-On-Foods",85511,41.01,169.07,0.24
"307","Loblaws",33217,47.81,462.39,0.1
"308","T&T",2186,9.82,119.25,0.08
"309","Loblaws",65253,39.25,551.33,0.07
"310","Metro",35027,11.23,457.31,0.02
"311","Galleria",55321,46.03,301.88,0.15
"312","Save-On-Foods",32606,49.78,123.59,0.4
"313","Metro",6789,27.12,197.03,0.14
"314","Galleria",8034,43.82,843.52,0.05
"315","No Frills",6956,11.78,90.72,0.13
"316","Galleria",34020,35.87,89.18,0.4
"317","No Frills",37604,2.11,111.22,0.02
"318","Walmart",51182,37.71,155.84,0.24
"319","Walmart",44375,32.6,268.28,0.12
"320","Loblaws",84259,29.91,851.75,0.04
"321","Loblaws",52534,32.69,237.27,0.14
"322","Metro",20614,41.47,932.7,0.04
"323","Save-On-Foods",66994,13.87,19.85,0.7
"324","Galleria",57045,10.07,877.62,0.01
"325","Voila",6787,3.04,945.59,0
"326","Voila",6474,2.09,709.91,0
"327","Save-On-Foods",72096,5.56,68.18,0.08
"328","Galleria",95042,47.61,304.46,0.16
"329","No Frills",21675,24.03,756.27,0.03
"330","No Frills",64500,45.86,926.18,0.05
"331","Save-On-Foods",95239,7.3,401.02,0.02
"332","T&T",97176,28.84,910,0.03
"333","Metro",45059,4.72,30.31,0.16
"334","Loblaws",24853,29.69,110.92,0.27
"335","Save-On-Foods",20244,39.13,33.72,1.16
"336","T&T",78128,11.05,614.88,0.02
"337","No Frills",24746,37.92,473.19,0.08
"338","Metro",12477,9.39,222.97,0.04
"339","Walmart",78850,39.3,407.31,0.1
"340","Walmart",78382,31.29,842.59,0.04
"341","Voila",81941,37.87,467.24,0.08
"342","Metro",71060,30.98,571.85,0.05
"343","No Frills",8672,47.93,146.06,0.33
"344","Loblaws",83136,15.69,806.41,0.02
"345","Loblaws",12358,16.01,253.24,0.06
"346","Loblaws",2794,6.7,774.92,0.01
"347","Voila",42886,22.68,616.53,0.04
"348","Metro",81431,20.06,138.87,0.14
"349","No Frills",65841,18.26,218.92,0.08
"350","Save-On-Foods",79467,8.59,170.43,0.05
"351","Loblaws",64248,34.86,468.89,0.07
"352","Metro",40639,17.85,448.21,0.04
"353","Walmart",82930,26.27,934.61,0.03
"354","Metro",8132,40.07,119.49,0.34
"355","Voila",53225,33.28,856.56,0.04
"356","Save-On-Foods",31010,27.63,127.87,0.22
"357","Loblaws",90473,43.46,123.75,0.35
"358","Metro",68344,20.14,25.16,0.8
"359","Metro",9515,42.51,270.22,0.16
"360","Metro",37396,47.66,914.6,0.05
"361","Metro",35688,35.2,429.06,0.08
"362","Galleria",65462,26.12,316.13,0.08
"363","Voila",19133,25.18,863.21,0.03
"364","Metro",48776,25.42,882.11,0.03
"365","Loblaws",51345,25.37,795.96,0.03
"366","Walmart",20032,29.94,238.11,0.13
"367","Loblaws",84265,26.23,191.07,0.14
"368","Loblaws",51411,41.73,202.39,0.21
"369","Voila",6851,10.73,551.05,0.02
"370","Metro",23804,22.73,666.52,0.03
"371","Walmart",77179,22.23,902.59,0.02
"372","Loblaws",6723,15.21,81.56,0.19
"373","Save-On-Foods",14039,37.98,997.74,0.04
"374","Loblaws",87073,5.08,790.44,0.01
"375","Metro",24401,21.21,255.78,0.08
"376","Metro",66574,12.96,738.94,0.02
"377","No Frills",86224,45.53,101.64,0.45
"378","Save-On-Foods",44128,6.72,87.13,0.08
"379","Loblaws",94380,34.54,767.24,0.05
"380","Voila",44083,35.48,844.88,0.04
"381","No Frills",19211,37.48,292.5,0.13
"382","Galleria",17664,31.22,259.09,0.12
"383","Walmart",9934,17.6,342.39,0.05
"384","No Frills",60716,0.12,340.6,0
"385","Voila",80766,25.23,686.26,0.04
"386","Metro",74454,3.42,791.94,0
"387","Metro",47995,16.29,16.81,0.97
"388","No Frills",58338,34.85,235.82,0.15
"389","Walmart",36110,28.21,83.13,0.34
"390","Loblaws",44619,7.07,27.18,0.26
"391","Save-On-Foods",11389,36.24,77.1,0.47
"392","Loblaws",16483,35.13,549.89,0.06
"393","Voila",25543,3.74,480.31,0.01
"394","Galleria",95694,23.79,623.37,0.04
"395","Walmart",49868,39.39,463.44,0.08
"396","Galleria",97866,40.62,61.16,0.66
"397","Walmart",48265,3.05,107.05,0.03
"398","Metro",86277,36.14,520.44,0.07
"399","Metro",14490,42.46,378.23,0.11
"400","Loblaws",56661,13.44,366.06,0.04
"401","T&T",73096,6.84,497.7,0.01
"402","Galleria",8809,36.3,645.56,0.06
"403","Save-On-Foods",40325,7.02,877.05,0.01
"404","Voila",39143,17.61,840.83,0.02
"405","T&T",80435,11.1,486.91,0.02
"406","T&T",90275,11.46,572.11,0.02
"407","Metro",5337,10.69,8.98,1.19
"408","Loblaws",33239,40.63,961.61,0.04
"409","T&T",83958,43.51,145.31,0.3
"410","Voila",39983,21.62,231.84,0.09
"411","No Frills",72824,21.61,726,0.03
"412","Loblaws",23338,1.38,549.57,0
"413","Voila",90427,15.37,305.43,0.05
"414","Loblaws",45917,34.53,888.95,0.04
"415","Voila",18776,33.28,228.63,0.15
"416","Walmart",47893,23.86,870.56,0.03
"417","Galleria",89558,40.45,705.94,0.06
"418","Voila",67143,33.45,945.81,0.04
"419","T&T",38520,48.04,640.07,0.08
"420","Loblaws",29248,25.94,606.16,0.04
"421","No Frills",57046,49.86,206.72,0.24
"422","Loblaws",68895,3.75,627.71,0.01
"423","Voila",99175,5.82,697.85,0.01
"424","Loblaws",67564,32.66,713.51,0.05
"425","Galleria",58317,49.41,393.11,0.13
"426","Walmart",49541,37.44,754.96,0.05
"427","Galleria",67548,24.21,879.47,0.03
"428","Save-On-Foods",15058,25.26,291.07,0.09
"429","T&T",64286,0.15,251.08,0
"430","Voila",73844,23.45,867.36,0.03
"431","Voila",74816,19.33,571.82,0.03
"432","Galleria",89107,30.03,796.06,0.04
"433","T&T",20216,33.9,987.06,0.03
"434","Loblaws",99957,15.09,383.01,0.04
"435","Galleria",11783,0.63,736.26,0
"436","Galleria",69592,12.98,661.66,0.02
"437","No Frills",5223,30.37,128.27,0.24
"438","Loblaws",53924,16.69,867.24,0.02
"439","T&T",34522,26.99,322.17,0.08
"440","T&T",93385,1.72,199.81,0.01
"441","No Frills",29120,43.38,29.98,1.45
"442","Loblaws",68582,27.03,686.25,0.04
"443","T&T",5388,14.52,198.65,0.07
"444","Metro",27454,27.89,95.6,0.29
"445","Galleria",14909,6.89,348.41,0.02
"446","Save-On-Foods",22528,16.74,392.19,0.04
"447","Save-On-Foods",57029,12.66,459.52,0.03
"448","Loblaws",78623,21.52,308.18,0.07
"449","Save-On-Foods",72457,15.07,908.22,0.02
"450","Walmart",20972,27.32,804.86,0.03
"451","Loblaws",23386,9.06,70.04,0.13
"452","Galleria",23106,24.19,68.19,0.35
"453","Walmart",23320,26.46,451.57,0.06
"454","T&T",38676,41.45,17.24,2.4
"455","Save-On-Foods",68951,40.84,657.87,0.06
"456","Loblaws",38702,13.2,233.8,0.06
"457","Loblaws",88077,39.84,285.52,0.14
"458","Walmart",46080,18.98,240.42,0.08
"459","T&T",83963,22.77,993.7,0.02
"460","Loblaws",40976,16.94,634.69,0.03
"461","Galleria",46317,34.47,91.89,0.38
"462","Galleria",88144,23.11,888.65,0.03
"463","Loblaws",95613,15.87,948.49,0.02
"464","Metro",94150,17.39,211.43,0.08
"465","Metro",16192,45.87,227.98,0.2
"466","Voila",26318,12.83,76.12,0.17
"467","T&T",4040,28.55,47.83,0.6
"468","Galleria",20366,33.8,319.79,0.11
"469","T&T",92299,12.95,682.47,0.02
"470","Walmart",18987,0.54,43.77,0.01
"471","Loblaws",48562,9.86,445.49,0.02
"472","Walmart",20275,31.29,84.1,0.37
"473","Save-On-Foods",13275,41.31,132.18,0.31
"474","T&T",1206,27.38,395.89,0.07
"475","T&T",33412,13.6,38.89,0.35
"476","Save-On-Foods",86452,13.4,647.98,0.02
"477","Galleria",60261,45.88,779.41,0.06
"478","Walmart",20588,8.61,903.98,0.01
"479","T&T",66759,41.88,437.89,0.1
"480","Metro",11146,10.79,294.45,0.04
"481","T&T",28019,19.6,965.99,0.02
"482","Galleria",28403,6.68,404.83,0.02
"483","Loblaws",63688,8.64,942.86,0.01
"484","Save-On-Foods",80953,24.43,354.49,0.07
"485","Galleria",1771,40.94,89.15,0.46
"486","Loblaws",50910,8.89,824.54,0.01
"487","Loblaws",85322,13.41,756.36,0.02
"488","Galleria",19590,5.35,762.23,0.01
"489","Loblaws",1786,49.54,572.89,0.09
"490","Loblaws",23610,21.26,168.68,0.13
"491","Voila",2628,6.43,832.91,0.01
"492","Voila",72273,6.08,672.12,0.01
"493","T&T",52117,2.21,103.99,0.02
"494","Metro",65652,47.4,247.61,0.19
"495","Loblaws",2431,15.13,80,0.19
"496","Walmart",77698,24.95,202.99,0.12
"497","Voila",16153,39.59,5.53,7.16
"498","Voila",23749,37.61,981.86,0.04
"499","Walmart",33087,28.92,937.98,0.03
"500","Save-On-Foods",59461,43.96,95.48,0.46
"501","Voila",86798,11.71,887.87,0.01
"502","Voila",87559,3.58,460.38,0.01
"503","Metro",47998,34.44,341.9,0.1
"504","T&T",10756,6.04,703.27,0.01
"505","Galleria",53024,20.55,332.05,0.06
"506","Save-On-Foods",99835,1.58,192.79,0.01
"507","T&T",35080,0.33,733.57,0
"508","Voila",25187,29.21,803.76,0.04
"509","Voila",31692,34.34,155.84,0.22
"510","Save-On-Foods",63187,7.43,657.64,0.01
"511","T&T",97308,24.16,639.8,0.04
"512","Loblaws",12582,29.58,29.35,1.01
"513","Loblaws",45283,36.78,108.44,0.34
"514","T&T",46804,46.36,277.09,0.17
"515","No Frills",88146,30.47,628.18,0.05
"516","Galleria",21990,39.14,312.22,0.13
"517","Galleria",65700,3.09,290.52,0.01
"518","Galleria",66222,10.81,96.52,0.11
"519","Metro",16212,10.85,543.44,0.02
"520","Metro",2040,45.46,258.09,0.18
"521","Metro",40130,48.51,815.57,0.06
"522","T&T",57146,12.86,943.77,0.01
"523","Galleria",73230,27.83,881.24,0.03
"524","Metro",80590,27.63,965.83,0.03
"525","T&T",85243,26,423.16,0.06
"526","Galleria",97277,33.8,622.26,0.05
"527","Save-On-Foods",83371,19.74,386.81,0.05
"528","T&T",35405,11.32,445.27,0.03
"529","Loblaws",5752,5.07,213.03,0.02
"530","Metro",8024,36.03,207.32,0.17
"531","No Frills",36251,43.74,69.94,0.63
"532","Walmart",63651,24.42,508.9,0.05
"533","Voila",22163,49.93,106.16,0.47
"534","Walmart",78624,22.83,549.02,0.04
"535","Loblaws",81006,31.88,306.42,0.1
"536","Metro",63806,37.68,675.83,0.06
"537","Loblaws",17188,44.52,599.94,0.07
"538","Metro",25248,42.01,430.73,0.1
"539","T&T",42688,10.81,404.98,0.03
"540","Galleria",25296,21.88,963.51,0.02
"541","Metro",56915,20.25,223.37,0.09
"542","Voila",41364,7.69,663.02,0.01
"543","Metro",19345,12.71,358.73,0.04
"544","Loblaws",83217,41.95,918.5,0.05
"545","Galleria",51289,16.28,438,0.04
"546","T&T",32795,22.43,95.34,0.24
"547","Galleria",5335,17.11,921.11,0.02
"548","T&T",49052,24.83,142.14,0.17
"549","Galleria",24011,25.2,467.07,0.05
"550","Metro",65898,37.21,549.69,0.07
"551","Loblaws",29540,29.24,390.98,0.07
"552","Metro",6966,12.65,219.33,0.06
"553","Loblaws",88104,31.4,47.5,0.66
"554","Metro",47772,27.15,33.39,0.81
"555","T&T",58866,14.29,81.5,0.18
"556","Loblaws",11625,31.64,35.05,0.9
"557","Loblaws",37006,14.82,765.02,0.02
"558","Galleria",46928,1.06,758.57,0
"559","Loblaws",58917,42.12,97.67,0.43
"560","Voila",50528,31.79,184.04,0.17
"561","Loblaws",58306,47.22,819.05,0.06
"562","Galleria",39447,10.19,382.21,0.03
"563","Metro",57665,35.63,848.08,0.04
"564","Save-On-Foods",46162,34.64,180.81,0.19
"565","Save-On-Foods",90643,19.4,631.35,0.03
"566","Galleria",40261,6.47,402.01,0.02
"567","T&T",59468,13.3,181.81,0.07
"568","Loblaws",52088,20.55,15.59,1.32
"569","Voila",62245,21.91,190.02,0.12
"570","Save-On-Foods",59968,18.52,14.62,1.27
"571","Voila",14428,22.73,555.52,0.04
"572","Loblaws",49211,34.31,777.4,0.04
"573","T&T",61344,0.54,94.25,0.01
"574","Walmart",23874,3.92,559.58,0.01
"575","T&T",39223,39.53,940.26,0.04
"576","Walmart",15306,1.42,280.42,0.01
"577","Save-On-Foods",76322,40.8,162.64,0.25
"578","Voila",32305,2.87,26.07,0.11
"579","Loblaws",49366,31.9,862.46,0.04
"580","Metro",19866,27.61,162.7,0.17
"581","Loblaws",75171,25.04,829.05,0.03
"582","Walmart",21936,14.3,448.16,0.03
"583","Save-On-Foods",80352,10.78,642.96,0.02
"584","Voila",45808,21.58,579.36,0.04
"585","Walmart",19946,27.6,963.64,0.03
"586","No Frills",55713,34.63,237.46,0.15
"587","Metro",89232,5.8,562.55,0.01
"588","Loblaws",64554,15.41,624.22,0.02
"589","Save-On-Foods",81961,43.02,315.59,0.14
"590","Loblaws",23513,3.34,885.5,0
"591","Voila",40000,39.7,333.02,0.12
"592","Voila",17142,44.06,164.08,0.27
"593","Loblaws",59748,11.37,220.63,0.05
"594","Metro",49601,48.44,990.48,0.05
"595","Galleria",68391,0,468.77,0
"596","No Frills",31838,28.65,104.83,0.27
"597","Save-On-Foods",76936,21.25,764.83,0.03
"598","Galleria",71144,13.66,550.93,0.02
"599","T&T",78376,14.85,665.98,0.02
"600","T&T",53819,14.08,846.76,0.02
"601","Walmart",92386,0.98,565.31,0
"602","Galleria",72332,31.08,192.33,0.16
"603","Metro",52274,16.45,84.16,0.2
"604","Loblaws",34567,7.75,836.32,0.01
